Area,Room,Parking,Warehouse,Elevator,Address,Price
63,1,TRUE,TRUE,TRUE,Shahran,1850000000
60,1,TRUE,TRUE,TRUE,Shahran,1850000000
79,2,TRUE,TRUE,TRUE,Pardis,550000000
95,2,TRUE,TRUE,TRUE,Shahrake Qods,902500000
123,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000
70,2,TRUE,TRUE,FALSE,North Program Organization,2050000000
87,2,TRUE,TRUE,TRUE,Pardis,600000000
59,1,TRUE,TRUE,TRUE,Shahran,2150000000
54,2,TRUE,TRUE,FALSE,Andisheh,493000000
71,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2370000000
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2450000000
64,1,TRUE,TRUE,TRUE,Narmak,2100000000
54,1,FALSE,TRUE,TRUE,Narmak,1690000000
136,3,TRUE,TRUE,TRUE,Saadat Abad,11000000000
95,2,TRUE,TRUE,TRUE,Zafar,5000000000
63,1,FALSE,TRUE,FALSE,Islamshahr,570000000
155,3,TRUE,TRUE,TRUE,Narmak,6700000000
64,2,FALSE,TRUE,FALSE,Pirouzi,1450000000
140,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,6400000000
42,1,FALSE,TRUE,FALSE,Pirouzi,1390000000
93,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000
87,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,2500000000
65,1,TRUE,TRUE,TRUE,Shahran,1880000000
99,2,TRUE,TRUE,TRUE,Moniriyeh,2277000000
105,2,TRUE,TRUE,TRUE,Saadat Abad,7150000000
160,3,TRUE,TRUE,TRUE,Velenjak,14945000000
77,2,TRUE,TRUE,TRUE,Amirieh,1771000000
123,2,TRUE,TRUE,TRUE,Pirouzi,4059000000
110,2,TRUE,TRUE,TRUE,Southern Janatabad,630000000
100,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3200000000
90,2,FALSE,TRUE,FALSE,Salsabil,1500000000
49,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2200000000
96,2,TRUE,TRUE,TRUE,Zargandeh,7872000000
67,2,TRUE,TRUE,FALSE,Feiz Garden,2350000000
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2500000000
62,1,TRUE,FALSE,TRUE,Water Organization,2150000000
55,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2150000000
110,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3750000000
129,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,5250000000
109,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,4830000000
58,1,TRUE,TRUE,TRUE,Saadat Abad,3400000000
55,1,TRUE,TRUE,TRUE,Saadat Abad,3850000000
150,2,FALSE,TRUE,TRUE,Shahrake Qods,1200000000
60,2,TRUE,TRUE,TRUE,,2650000000
130,3,TRUE,TRUE,FALSE,ShahrAra,5000000000
88,2,TRUE,TRUE,TRUE,Gisha,4750000000
51,1,TRUE,TRUE,TRUE,Gisha,2980000000
113,3,TRUE,TRUE,FALSE,Shahrake Gharb,7000000000
110,2,TRUE,TRUE,TRUE,Ray,2035000000
60,1,TRUE,TRUE,TRUE,Abbasabad,2460000000
98,2,TRUE,TRUE,TRUE,Pardis,540000000
62,2,FALSE,FALSE,TRUE,Ostad Moein,1450000000
150,3,TRUE,TRUE,TRUE,Farmanieh,10000000000
75,2,FALSE,FALSE,FALSE,Parand,635000000
61,1,TRUE,TRUE,FALSE,Punak,2030000000
61,1,TRUE,TRUE,FALSE,Punak,2030000000
72,2,TRUE,TRUE,TRUE,Shahran,2350000000
100,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,3000000000
122,3,TRUE,TRUE,TRUE,Aqdasieh,7200000000
215,3,TRUE,TRUE,TRUE,Pakdasht,1750000000
101,2,TRUE,TRUE,TRUE,Railway,3300000000
