x,y
54,1
56,2
102,11
3,2
24,33
63,53
12,22
65,44
54,54
32,62
12,22
64,23
98,56
62,31
32,45
20,5
103,56
154,41
65,15
34,3
68,68
74,103
35,65
93,81
12,32
18,54
67,78
94,62
35,32
47,94
46,43
62,96
34,121
97,36
64,68
35,95
97,101
46,35
78,49
65,154
93,39
154,58
64,156
21,98
32,32
48,23
45,68
37,4
83,6
47,3
45,98
32,56
78,143
65,57
71,69
135,75
12,95
38,23
61,147
94,64
32,85
125,63
62,41
89,78
62,47
45,48
12,165
19,123
84,167
163,32
35,66
93,52
24,135
65,54
65,95
98,124
45,126
15,34
47,154
98,123
65,56
45,48
102,73
36,59
98,143
65,165
70,146
101,65
65,43
96,30
34,28
85,3
69,74
12,162
3,23
9,92
48,84
64,24
32,32
11,12
